,Vectors,Lang
10,"[[-4.1594235e+02 -3.2567502e+02 -3.0080566e+02 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 1.2235647e+02  1.3114810e+02  1.1473833e+02 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [-7.6888618e+01 -9.8696945e+01 -9.4611450e+01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 ...
 [-7.0866170e+00 -1.0674330e+01 -1.4857333e+01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [-1.9906185e+00 -2.5479984e-01 -3.6901343e-01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 1.0543063e+00  6.6367702e+00  3.6721482e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]]",Bengali
11,"[[-3.0090735e+02 -2.4168732e+02 -2.7359344e+02 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 9.4698494e+01  9.6328529e+01  1.0235846e+02 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [-5.9774193e+01 -5.8992767e+01 -5.5133430e+01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 ...
 [-2.0422207e+01 -1.8574377e+01 -1.2843883e+01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [-1.4238871e+01 -1.6516853e+01 -1.5261443e+01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 3.0592246e+00 -2.1396372e-01 -1.4194775e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]]",Bengali
12,"[[-5.1490533e+02 -4.1089722e+02 -2.5505389e+02 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 1.5015067e+02  1.5880408e+02  9.4835648e+01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 3.9096413e+01  2.0251308e+01 -3.1593315e+01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 ...
 [-1.1600527e+01 -2.0797348e+01 -1.6490318e+01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [-7.3541069e-01 -4.2355337e+00 -1.3407696e+01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [-1.2637716e+01 -5.8415823e+00  2.0971596e-03 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]]",Bengali
13,"[[-5.4716248e+02 -5.1814020e+02 -5.4046881e+02 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 1.1985303e+02  1.3055792e+02  1.2878937e+02 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 3.4315696e+00  1.0571471e+00  8.2943325e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 ...
 [-1.1297793e+00 -2.5177906e+00 -6.5758705e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [-1.4382106e+00  4.2618603e-01  2.8311026e-01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [-2.0519415e-01  1.7114953e+00  5.3212795e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]]",Bengali
14,"[[-6.8068713e+02 -5.7793903e+02 -4.6937991e+02 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 2.5513718e+01  8.1601074e+01  1.6204965e+02 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 2.7111718e-01 -4.2203651e+01 -7.3362556e+01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 ...
 [-3.3887937e+00  4.4448662e+00 -2.3249698e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [-5.8402214e+00  6.0994595e-01 -4.9378891e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 3.5123095e-01  4.7801447e-01 -4.9568534e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]]",Bengali
15,"[[-598.66284   -528.58105   -522.704     ...    0.           0.
     0.       ]
 [ 100.03526    155.1767     162.52084   ...    0.           0.
     0.       ]
 [   3.5212338   -8.0519285   -2.4774196 ...    0.           0.
     0.       ]
 ...
 [ -10.680897   -15.147066   -13.710789  ...    0.           0.
     0.       ]
 [ -21.630575   -23.826052   -20.748962  ...    0.           0.
     0.       ]
 [ -11.102217   -15.402799   -11.859539  ...    0.           0.
     0.       ]]",Bengali
16,"[[-575.3489    -508.0665    -502.7959    ...    0.           0.
     0.       ]
 [  64.153946   108.40848    110.32289   ...    0.           0.
     0.       ]
 [ -36.66923    -50.566925   -47.220585  ...    0.           0.
     0.       ]
 ...
 [   6.012022     1.0795177   -4.9658957 ...    0.           0.
     0.       ]
 [  -5.955676    -7.5929546  -11.526054  ...    0.           0.
     0.       ]
 [  -9.524069   -12.337078    -8.800198  ...    0.           0.
     0.       ]]",Bengali
17,"[[-364.74667    -179.82349    -110.66502    ...    0.
     0.            0.        ]
 [  -3.5963993    32.61494      70.122955   ...    0.
     0.            0.        ]
 [  49.589203     24.142242     11.400454   ...    0.
     0.            0.        ]
 ...
 [  -7.119684     -4.500347    -11.373985   ...    0.
     0.            0.        ]
 [   1.4000019    -3.2387333    -8.347345   ...    0.
     0.            0.        ]
 [   1.3703376    -0.84078187    0.62987494 ...    0.
     0.            0.        ]]",Bengali
18,"[[-467.7956    -253.9567    -191.84662   ...    0.           0.
     0.       ]
 [  89.64934    138.65654    155.87878   ...    0.           0.
     0.       ]
 [ -34.054882   -56.898346   -75.31568   ...    0.           0.
     0.       ]
 ...
 [  -4.144568    -6.76831     -2.5948179 ...    0.           0.
     0.       ]
 [   9.2638445   -4.668683   -11.655504  ...    0.           0.
     0.       ]
 [   2.0006013   -4.9358444   -5.689828  ...    0.           0.
     0.       ]]",Bengali
19,"[[-416.27435    -176.53264     -92.090576   ...    0.
     0.            0.        ]
 [ 154.91443     146.3306      138.60747    ...    0.
     0.            0.        ]
 [   6.595668    -28.680466    -38.861153   ...    0.
     0.            0.        ]
 ...
 [ -11.557079     -4.2909317     0.48319727 ...    0.
     0.            0.        ]
 [   3.8024912    -4.6311483   -10.084261   ...    0.
     0.            0.        ]
 [   0.8441682    11.727228     13.109768   ...    0.
     0.            0.        ]]",Bengali
20,"[[-5.2876117e+02 -4.5206879e+02 -4.1512061e+02 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 1.9721920e+01  7.1412567e+01  9.5619057e+01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 8.7658844e+00 -8.1308502e-01 -9.1102338e-01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 ...
 [ 2.3511922e-01 -1.7269417e+01 -1.4543561e+01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 4.1825380e+00 -3.0601463e+00 -3.0840669e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 1.3255008e+00 -7.4590838e-01  4.4176259e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]]",Bengali
21,"[[-540.5492    -492.32327   -496.98422   ...    0.           0.
     0.       ]
 [  69.442154   124.18245    118.796814  ...    0.           0.
     0.       ]
 [  41.669456    65.56287     62.96989   ...    0.           0.
     0.       ]
 ...
 [  -4.2227025   -6.8251467  -10.477892  ...    0.           0.
     0.       ]
 [   0.576983    -3.2423735   -6.8650174 ...    0.           0.
     0.       ]
 [   1.8386188   -4.0088143   -6.4454675 ...    0.           0.
     0.       ]]",Bengali
22,"[[-255.88815   -207.79582   -220.11266   ...    0.           0.
     0.       ]
 [ 175.07355    135.10036     77.52092   ...    0.           0.
     0.       ]
 [  16.036713    47.935204    79.91197   ...    0.           0.
     0.       ]
 ...
 [   3.2238998   15.120245    19.424377  ...    0.           0.
     0.       ]
 [  20.970581    24.404284    35.081093  ...    0.           0.
     0.       ]
 [ -20.516914    -9.306907    -1.719236  ...    0.           0.
     0.       ]]",Bengali
23,"[[-550.0677    -408.78403   -333.30386   ...    0.           0.
     0.       ]
 [  59.420063    57.49916     94.29068   ...    0.           0.
     0.       ]
 [  47.61515     41.54107     26.844166  ...    0.           0.
     0.       ]
 ...
 [  -3.6414766   -1.200453   -20.512962  ...    0.           0.
     0.       ]
 [   5.095148     6.480674   -13.00132   ...    0.           0.
     0.       ]
 [   1.1316068    3.2484062   -3.4713364 ...    0.           0.
     0.       ]]",Bengali
24,"[[-593.4637    -399.81995   -288.69034   ...    0.           0.
     0.       ]
 [ 149.1435      71.230865    27.291256  ...    0.           0.
     0.       ]
 [  41.3168      51.940804    60.888725  ...    0.           0.
     0.       ]
 ...
 [   4.6823335   20.29855     25.715208  ...    0.           0.
     0.       ]
 [  11.374822     7.209303     4.6523542 ...    0.           0.
     0.       ]
 [  11.827452    15.535473     8.818655  ...    0.           0.
     0.       ]]",Bengali
25,"[[-5.6681012e+02 -4.7894864e+02 -3.7412915e+02 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 9.8150597e+01  1.3044434e+02  8.7448471e+01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 2.8760925e+01  2.1528542e+01  6.5757324e+01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 ...
 [-4.0426836e+00 -5.1950140e+00  3.5205119e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 5.0086641e+00 -4.4502630e+00 -8.8333435e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 8.2250004e+00  1.1585491e+01  2.5751621e-01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]]",Bengali
26,"[[-3.5839862e+02 -2.8209598e+02 -2.7298401e+02 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 8.9846481e+01  8.3983513e+01  9.7019661e+01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [-1.0084091e+02 -9.8446503e+01 -9.8821983e+01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 ...
 [ 5.5122309e+00  1.0969465e+00 -1.4843253e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 3.9554775e-01 -8.3189249e+00 -1.8539057e+01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 2.7630351e+00  2.2239721e+00 -2.9261708e-02 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]]",Bengali
27,"[[-3.0145398e+02 -2.8593820e+02 -3.4331900e+02 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 1.2596151e+02  1.3666737e+02  1.4015219e+02 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [-9.2585556e+01 -8.4321518e+01 -4.5224880e+01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 ...
 [-2.6110634e+01 -2.7121586e+01 -1.3454348e+01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [-1.3728017e+00 -1.0293591e+00 -1.6703150e-01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [-1.0426216e+01 -9.2281761e+00  4.4393358e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]]",Bengali
28,"[[-5.54132812e+02 -4.36944366e+02 -4.06063690e+02 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 9.79162750e+01  1.07500885e+02  1.02589569e+02 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-2.31050034e+01 -3.91920052e+01 -3.41429710e+01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 ...
 [-9.80566263e-01  2.57179558e-01  5.84456158e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-9.34103072e-01  1.45883584e+00  3.37975907e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-6.75943756e+00 -1.32710409e+01 -1.22869310e+01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]]",Bengali
29,"[[-158.44868    -106.73853    -135.58708    ...    0.
     0.            0.        ]
 [  99.00867      99.65574     105.47005    ...    0.
     0.            0.        ]
 [  51.6885       45.91652      30.677685   ...    0.
     0.            0.        ]
 ...
 [  -0.19281314    2.74722       7.860718   ...    0.
     0.            0.        ]
 [   3.8973322     3.2135196    -0.30351785 ...    0.
     0.            0.        ]
 [   0.65407443    2.4850302     8.828973   ...    0.
     0.            0.        ]]",Bengali
30,"[[-4.1161508e+02 -3.1371973e+02 -3.1483737e+02 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 1.0208281e+02  1.2567013e+02  1.0669640e+02 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 1.1014505e+01 -8.1797276e+00 -1.0176511e+01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 ...
 [ 1.4771953e+00  9.0527666e-01 -5.6773586e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 2.8492053e+00  2.4339693e+00  4.8043351e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [-2.0569870e+00  5.6722663e-02 -2.0199604e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]]",Gujrathi
31,"[[-520.41095   -475.16367   -424.48572   ...    0.           0.
     0.       ]
 [   0.          36.222878    59.231983  ...    0.           0.
     0.       ]
 [   0.          -8.892632   -32.47696   ...    0.           0.
     0.       ]
 ...
 [   0.          -5.1553545   -7.4566603 ...    0.           0.
     0.       ]
 [   0.         -10.167631    -7.3720007 ...    0.           0.
     0.       ]
 [   0.          -5.862352    -5.078788  ...    0.           0.
     0.       ]]",Gujrathi
32,"[[-144.54482     -75.75686     -75.036125   ...    0.
     0.            0.        ]
 [ 112.93106      98.41379      98.51451    ...    0.
     0.            0.        ]
 [-106.993225   -117.51936    -121.03395    ...    0.
     0.            0.        ]
 ...
 [  33.321754     44.213806     32.64897    ...    0.
     0.            0.        ]
 [  -4.3808002    -0.5349361     0.41170037 ...    0.
     0.            0.        ]
 [  17.109138     26.69814      33.94638    ...    0.
     0.            0.        ]]",Gujrathi
33,"[[-290.89963   -167.47049   -154.24762   ...    0.           0.
     0.       ]
 [  91.36977     60.16568     27.02891   ...    0.           0.
     0.       ]
 [ -77.86271    -83.67685   -100.58153   ...    0.           0.
     0.       ]
 ...
 [  -6.4249554   -7.4866657  -13.226459  ...    0.           0.
     0.       ]
 [ -12.487576   -15.957035   -23.448923  ...    0.           0.
     0.       ]
 [ -18.319567   -23.191006   -23.777622  ...    0.           0.
     0.       ]]",Gujrathi
34,"[[-6.19750488e+02 -3.99590515e+02 -2.77518616e+02 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 1.12323341e+01  6.42420197e+01  5.48392792e+01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-2.06047401e+01 -9.12879028e+01 -1.24387314e+02 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 ...
 [-7.98114109e+00  8.88238811e+00  2.51201668e+01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 9.89234149e-02  4.74837446e+00  1.92858047e+01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 4.00653076e+00 -2.29809213e+00  2.00877151e+01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]]",Gujrathi
35,"[[-272.49704    -150.9613     -144.57466    ...    0.
     0.            0.        ]
 [  79.707184     77.223465     61.124695   ...    0.
     0.            0.        ]
 [ -65.930565    -65.91718     -64.09684    ...    0.
     0.            0.        ]
 ...
 [  14.168079     22.067368     24.562546   ...    0.
     0.            0.        ]
 [   4.743537     -0.81095076   -5.8106394  ...    0.
     0.            0.        ]
 [  -1.281159     -3.065976    -10.052513   ...    0.
     0.            0.        ]]",Gujrathi
36,"[[-309.57315   -187.67625   -185.56233   ...    0.           0.
     0.       ]
 [  75.55001     72.01192     72.422424  ...    0.           0.
     0.       ]
 [-119.8025    -127.698944  -123.93565   ...    0.           0.
     0.       ]
 ...
 [   8.176635     8.325669    10.736389  ...    0.           0.
     0.       ]
 [   6.2375526   13.805883    14.874031  ...    0.           0.
     0.       ]
 [ -10.628912   -10.006744    -8.621622  ...    0.           0.
     0.       ]]",Gujrathi
37,"[[-439.847     -300.30118   -245.63463   ...    0.           0.
     0.       ]
 [  31.657999    68.23563     93.53384   ...    0.           0.
     0.       ]
 [ -28.431618   -26.950203   -68.11167   ...    0.           0.
     0.       ]
 ...
 [ -13.976698     4.602133    12.172056  ...    0.           0.
     0.       ]
 [  -2.9690814   -3.075674    -4.461458  ...    0.           0.
     0.       ]
 [   8.742832    -1.5381805   -7.406907  ...    0.           0.
     0.       ]]",Gujrathi
38,"[[-6.16984192e+02 -5.36230286e+02 -5.01361328e+02 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 1.68802032e+01  7.39903717e+01  8.19988861e+01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 7.00030899e+00  1.65577710e-01 -1.49282265e+01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 ...
 [-4.75877523e+00  8.18227291e-01 -3.99820113e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-2.55601978e+00  9.67122972e-01 -4.67783570e-01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-1.56042054e-01 -1.22847766e-01  1.33670062e-01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]]",Gujrathi
39,"[[-528.3114     -474.22574    -446.313      ...    0.
     0.            0.        ]
 [  13.882644     40.16444      54.319214   ...    0.
     0.            0.        ]
 [ -15.330547    -35.193897    -36.02863    ...    0.
     0.            0.        ]
 ...
 [  -4.745102     -5.118468     -4.660722   ...    0.
     0.            0.        ]
 [  -6.385639    -10.383387     -6.6506114  ...    0.
     0.            0.        ]
 [   0.82418585   -1.184066      1.5557848  ...    0.
     0.            0.        ]]",Gujrathi
40,"[[-45.069836   12.639782  -18.20159   ...   0.          0.
    0.       ]
 [ 43.956856   52.070343   72.34001   ...   0.          0.
    0.       ]
 [-66.99577   -75.524704  -80.66218   ...   0.          0.
    0.       ]
 ...
 [ 29.781502   27.366516   21.67423   ...   0.          0.
    0.       ]
 [-10.78182    -3.9332929  -2.2459455 ...   0.          0.
    0.       ]
 [ 13.867689   27.44261    34.057022  ...   0.          0.
    0.       ]]",Gujrathi
41,"[[-6.09565979e+02 -5.33456970e+02 -5.05710815e+02 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 2.79075623e+01  8.78577576e+01  8.74324265e+01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 9.08476734e+00  8.51828480e+00 -4.65829420e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 ...
 [-5.21684599e+00 -3.90532875e+00 -5.82271290e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-1.79362154e+00 -4.17643118e+00 -5.78411913e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-1.16534084e-01  5.03466904e-01  2.75385559e-01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]]",Gujrathi
42,"[[-5.7139471e+02 -4.9420108e+02 -4.5138815e+02 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 6.7680478e+00  4.7812927e+01  6.3811337e+01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [-6.1066580e+00 -2.6822361e+01 -2.1957180e+01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 ...
 [ 3.1492634e+00  9.4631100e+00 -4.0185016e-01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 8.1094751e+00  8.8129730e+00  5.2610934e-01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 1.6368734e+00  4.0712290e+00 -3.3226468e-02 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]]",Gujrathi
43,"[[-531.77      -369.53317   -317.55334   ...    0.           0.
     0.       ]
 [ 106.5271      86.412834    82.93703   ...    0.           0.
     0.       ]
 [ -18.61604    -46.33106    -57.357307  ...    0.           0.
     0.       ]
 ...
 [  -5.0104294    4.9141884    3.01724   ...    0.           0.
     0.       ]
 [   8.843878    34.35892     30.929523  ...    0.           0.
     0.       ]
 [  23.364704    35.41426     33.707592  ...    0.           0.
     0.       ]]",Gujrathi
44,"[[-672.4147    -658.9635    -644.6071    ...    0.           0.
     0.       ]
 [  16.248175    31.66248     42.89022   ...    0.           0.
     0.       ]
 [  12.604244    21.217525    21.091019  ...    0.           0.
     0.       ]
 ...
 [  -4.0750685   -5.2829466   -4.0856223 ...    0.           0.
     0.       ]
 [  -3.5602212   -8.145669   -12.361362  ...    0.           0.
     0.       ]
 [  -1.7201369   -6.8737483   -9.131329  ...    0.           0.
     0.       ]]",Gujrathi
45,"[[-353.03925    -250.62425    -249.34367    ...    0.
     0.            0.        ]
 [  77.955215     76.346436     51.772984   ...    0.
     0.            0.        ]
 [ -28.456749    -57.255714    -69.44011    ...    0.
     0.            0.        ]
 ...
 [   3.3592448    -0.37717935   -3.1229296  ...    0.
     0.            0.        ]
 [ -22.178911    -24.2014      -24.265171   ...    0.
     0.            0.        ]
 [   4.235614      2.6832402    -1.3191546  ...    0.
     0.            0.        ]]",Gujrathi
46,"[[-471.61993   -350.68073   -325.96188   ...    0.           0.
     0.       ]
 [  25.752407    49.012833    54.33091   ...    0.           0.
     0.       ]
 [ -19.498697   -45.871433   -50.077637  ...    0.           0.
     0.       ]
 ...
 [   2.1543157    1.8265991   -2.0349853 ...    0.           0.
     0.       ]
 [  -3.6692953   -2.013895    -2.760091  ...    0.           0.
     0.       ]
 [  -4.4954205   -4.1936855   -1.1198559 ...    0.           0.
     0.       ]]",Gujrathi
